,位置,次数
0,雅怡居,5
1,华港花园,12
2,六运小区,13
3,漾晴居,2
4,星河苑,1
5,珠江花城,4
6,金建苑,2
7,阳光假日园,6
8,华标广场,3
9,富力天朗明居,13
10,德荣小区,10
11,乐雅苑,1
12,天河区离退休干部第二休养所,1
13,穗园小区,5
14,棠德花苑,37
15,恒城大厦,2
16,电子五所宿舍,4
17,瑞心苑,6
18,华翠街小区,1
19,光机电研究所,4
20,交委宿舍,1
21,天健上城,5
22,华景新城泽晖苑,1
23,富力公园28,9
24,华南理工大学东住宅区,3
25,省粮油宿舍,1
26,中怡城市花园,9
27,信成小区,1
28,名门大厦,6
29,创逸雅苑,5
30,员村四横路5号大院,1
31,华文学院,1
32,南粤阁,2
33,枫丹雅筑,1
34,橡树园,8
35,盈彩美居,19
36,河源大厦,2
37,龙湖首开天宸原著,3
38,历德雅舍,6
39,尚东君御雅苑,7
40,隆基怡苑,1
41,侨源山庄,8
42,金田花苑,8
43,天平花苑,2
44,誉城苑,3
45,骏景花园,28
46,天一新村,6
47,联发名苑,1
48,汇富花园,3
49,新燕花园,7
50,天河东远洋宿舍,2
51,美林海岸,17
52,芳草园,4
53,南国花园,4
54,都市兰亭花园,8
55,粤和楼,3
56,新世界东逸花园,7
57,珠江俊园,9
58,天顺跃居,3
59,丽晶华庭,5
60,希尔顿阳光,2
61,都市华庭(天河),1
62,中人集团宿舍,2
63,嘉宝华庭,2
64,侨苑小区(天河区),1
65,跑马地花园,4
66,南雅苑,4
67,富力天河华庭,6
68,天誉华庭,6
69,侨乐新村,4
70,环宇花园,5
71,天惠大厦,3
72,云山翠苑,1
73,峻林,5
74,金碧华府,1
75,太阳广场,4
76,华南理工大学宿舍南秀村,2
77,怡苑,1
78,吉祥花苑,1
79,银燕大厦,4
80,汇峰苑,8
81,百合路38-64号宿舍（双号）,2
82,棠雅苑,1
83,天荣小区,2
84,天河山庄,4
85,华景新城瑞景楼,1
86,南国嘉园,2
87,招商雍华府,8
88,光华大厦,3
89,隽园,3
90,华景新城芳满庭园,2
91,粤海丽江花园,11
92,聚龙阁,1
93,仙湖名苑,2
94,喜洋居,4
95,华景新城逸意居,3
96,春晖苑(天河),2
97,赛拉维,10
98,理想蓝堡国际花园,2
99,华骏花园,3
100,信华经理人家园,5
101,力达广场,1
102,观山苑,4
103,中海康城,13
104,农工商学院,2
105,华景新城叠翠居,5
106,广东外语职业艺术学院五山校区,1
107,远洋明苑,3
108,春江花园,2
109,象牙厂宿舍,1
110,兴禺大厦,2
111,穗乐花园,5
112,华景新城陶然庭苑,8
113,聚侨苑,1
114,凯德天河新作新园,4
115,紫荆小区,5
116,龙苑大厦,4
117,利雅湾,6
118,江源半岛花园,2
119,风行牛奶宿舍,2
120,保利中辰广场,2
121,广弘天琪,2
122,嘉怡苑,2
123,穗东花园,2
124,南兴花园(天河区),2
125,天华苑,1
126,暨南大学宿舍,9
127,东方都会广场,5
128,华颖花园,3
129,育蕾小区,5
130,翠湖山庄,5
131,园田居,2
132,龙口花苑,5
133,东方新世界熹园,1
134,宝翠园,3
135,保利心语,6
136,雅怡阁,2
137,金碧翡翠华庭,2
138,省工艺大院,1
139,天河星作,6
140,隽峰苑,4
141,天雅居,12
142,兰亭盛荟,22
143,银汇华庭,2
144,跑马地花园三期,4
145,美林湖畔花园,8
146,易通大厦,6
147,豪景花园,6
148,天平架公交宿舍,1
149,美林湖畔花园誉府,3
150,阳光家园(天河),3
151,中铁盛德国际,4
152,东河苑,1
153,珠江华景里,7
154,富力天禧花园,2
155,珠委大院,2
156,海棠阁,1
157,天誉花园,5
158,兰亭荟苑,2
159,荟雅苑,3
160,瑞达大厦,3
161,远洋天骄,15
162,东璟花园,7
163,海欣街海关宿舍,2
164,乐意居花园,6
165,远东大厦,4
166,羊城花园,7
167,协和新世界,4
168,侨乐新村嘉德利湾,3
169,中海璟晖华庭,4
170,员村二横路11号大院,1
171,旭景家园,11
172,美好居,3
173,万科云城米酷,16
174,高德公馆,4
175,建材小区,1
176,保利林海山庄,5
177,天河峰景,4
178,金富苑,1
179,瑜翠园,4
180,金燕花苑,6
181,华润天合,2
182,东方新世界,17
183,华南御景园,6
184,半山雍景苑,3
185,丰乐苑,3
186,金泽大厦,2
187,中海花城湾,8
188,五华大厦,1
189,时代花生二期,3
190,燕东大厦,1
191,侨怡苑,9
192,祥兴大厦,5
193,华天国际广场,4
194,省农机所,1
195,嘉裕公馆,11
196,珠光新城御景,1
197,侨英花园,3
198,燕塘大院,2
199,祥龙花园,2
200,先烈东横路,2
201,天润大厦,2
202,华景新城怡华台,3
203,天龙大厦,2
204,诚居花园,1
205,广海花园,3
206,宝兴翠园,1
207,华景新城逸宁居,2
208,南骏大厦,1
209,天河广场,4
210,省农科院西区,1
211,尚河居,1
212,黄埔大道中锦明街,3
213,五山路电力宿舍,1
214,双城国际,3
215,百脑汇科技大厦,1
216,水利电力学院,1
217,迎翠春庭,3
218,金鼎大厦,3
219,侨明苑,1
220,天河北苑,4
221,天鹅花苑,2
222,棠东远洋小区,2
223,润寿小区,2
224,尚德大厦,2
225,保利中宇广场,1
226,城市假日园,3
227,金海花园,2
228,嘉逸花园,6
229,翠拥华庭锋尚,2
230,嘉裕礼顿阳光,3
231,万菱汇广场,2
232,富力院士庭,4
233,天文苑,3
234,君华上域,1
235,东荣文华轩,1
236,嘉尚国际公寓,1
237,正佳万豪金殿,2
238,育龙居,4
239,长运大院,1
240,白云进修学院教工宿舍,1
241,水荫路永福正街,2
242,勤天E品上馆,2
243,惠苑楼,1
244,阳光桃源,2
245,南天广场,2
246,华苑大厦,2
247,铂林国际公寓,4
248,侨林苑,3
249,东圃广场,2
250,中兴花园,2
251,领汇国际公寓,1
252,华康小区,3
253,鸿翔大厦,3
254,广州大道省府宿舍,1
255,华师大学宿舍北区,1
256,广信红棉阁,1
257,公路局大院,1
258,银利新村,1
259,瑞华大厦,3
260,天逸名都,2
261,银利花苑,2
262,卫生院宿舍,1
263,帝景苑,10
264,汇景新城中央庭院,3
265,恒业大厦,1
266,方圆月岛轩,4
267,凯旋新世界广粤尊府,3
268,博雅首府,1
269,金地天河公馆,3
270,广本宿舍,1
271,青松园,1
272,煤气公司宿舍(天河区),1
273,金达苑,2
274,天河直街远洋宿舍,1
275,省水科院,1
276,恒康阁,1
277,高胜花园,2
278,林和东路155-171号（单号）,1
279,鸿燕居,1
280,远洋小区,2
281,水务局三防办,3
282,侨颖苑,1
283,信达金茂府,1
284,体育西苑,1
285,金晖花园,2
286,骏汇大厦,2
287,利汇名悦大厦,1
288,明轩,1
289,星汇云锦,2
290,名雅苑,2
291,力迅上筑,1
292,耀星华庭,1
293,朝晖苑,3
294,天雅阁,2
295,华景新城逸悦居,3
296,东方之珠花园,1
297,加拿大花园,4
298,叠翠台,1
299,尚东宏御,4
300,东晖花园,4
301,绿佳花园,2
302,冠庭园,2
303,海景花园,2
304,天河鸿运花园,2
305,华景新城逸雅居,2
306,珠光新城御景二期,1
307,南国嘉居,1
308,邮通小区,2
309,龙口东路翠竹苑,1
310,红盾大厦,1
311,百合苑A区,1
312,金穗大厦,3
313,百合苑B区,2
314,福泉楼,1
315,碧海湾,3
316,金润大厦,1
317,天利居,1
318,恒达苑,1
319,汇景新城棕榈园,1
320,嘉怡花苑,1
321,天力居,3
322,天盛大厦,1
323,鸿景园,1
324,华南理工大学宿舍北区,2
325,铝材厂宿舍,1
326,珠江西苑,1
327,华南理工大学宿舍红棉苑,1
328,五山花园,3
