小区名,否,是
万华花园,37579.0,0.0
万和苑,0.0,25451.0
万寿路,0.0,30075.0
万科东荟城,30501.666666666668,34408.666666666664
万科云城米酷,0.0,24059.0
万科城市花园,0.0,36487.0
万科天景花园,0.0,13229.0
万科尚城御府,30143.0,26148.75
万科幸福誉,21346.75,22565.0
万科府前一号,0.0,26211.0
万科新里程,30280.0,34159.5
万科柏悦湾,40609.0,40679.5
万科欧泊,44616.333333333336,42786.28571428572
万科爱地住宅区,0.0,22166.0
万科里享家,17033.5,18367.25
万科金域华庭,0.0,63872.0
万科金色梦想,0.0,28525.833333333332
下塘西路,0.0,26245.0
东兴小区,0.0,45308.0
东凌广场,0.0,13072.0
东华楼,0.0,11048.0
东华花园,21179.0,22773.8
东山水恋,0.0,70805.0
东山雅筑,0.0,90220.0
东怡新区东倩园,0.0,21695.0
东怡新区东雅园,0.0,24075.5
东成花苑,0.0,49471.0
东方名都花园,16796.25,17600.545454545456
东方新世界,78023.0,0.0
东方明珠花园,0.0,34668.0
东方白云花园,20228.333333333332,20102.2
东晖园,0.0,21020.0
东景华庭,16385.0,0.0
东浚荔景苑,0.0,38897.0
东湖新村,0.0,45416.0
东湖洲花园2区,0.0,33232.0
东湖洲花园A区,0.0,32636.5
东璟花园,56791.0,61792.0
东翠园,22176.0,23567.0
东翠花园金麟台,0.0,49862.0
东越雅居,59927.0,0.0
东风广场,0.0,96888.0
中人集团宿舍,0.0,30252.0
中国铁建国际花园,12867.0,14327.833333333334
中国铁建荔湾国际城,0.0,39918.0
中大城,0.0,17183.0
中山七路,0.0,36946.0
中怡城市花园,0.0,106442.0
中森茗苑,0.0,14458.0
中海名都,0.0,62031.0
中海康城,0.0,45879.0
中海璟晖华庭,129359.0,0.0
中海花城湾,0.0,192279.0
中海誉城北苑,0.0,28426.5
中海誉城南苑,23783.0,27095.8
中海金沙馨园二期西区,0.0,30106.0
中海锦汇华庭（A区）,0.0,37307.0
中海锦苑,86264.0,0.0
中环品悦,0.0,27825.666666666668
中贸国际,0.0,5322.0
中鼎君和名城,0.0,45301.0
丰庭花园,0.0,14698.5
丹桂园,0.0,14471.0
丽和华庭,0.0,38811.0
丽康居,0.0,22292.0
丽影华庭B区,0.0,52688.0
丽晶华庭,74139.5,0.0
丽江花园丽波楼,0.0,20665.666666666668
丽江花园丽茵楼,0.0,20643.0
丽江花园丽荃楼,0.0,19316.0
丽江花园九如通津,0.0,31500.666666666668
丽江花园华林居,0.0,23810.0
丽江花园左岸,27915.0,0.0
丽江花园康城居,0.0,23218.0
丽江花园德汇楼,20802.0,22868.0
丽江花园德荫楼,0.0,26005.0
丽江花园星海洲,23239.0,25500.0
丽苑大厦(越秀区),0.0,52639.0
乐天峰公馆,0.0,17170.0
乐得花园,0.0,26574.333333333332
乐意居花园,37288.0,0.0
乐雅苑,0.0,36226.0
乙烯大院,0.0,31717.0
云和花园,27870.0,0.0
云天翠庭,30909.0,0.0
云山居,23236.0,0.0
云山翠苑,0.0,36429.0
云山锦绣家园,0.0,45660.0
云山雅苑,0.0,54462.0
云峰学府花园,11868.0,11001.0
云星钱隆天誉,9250.0,9939.0
云映阁,0.0,24252.8
云景花园云桦苑,0.0,44202.0
云涛花园,0.0,24686.5
云港花园,0.0,16091.0
云裳丽影,44120.0,0.0
五溪御龙湾,11704.0,0.0
五羊小区,0.0,41700.666666666664
亚太新城亚太银座二期,17190.0,16985.333333333332
亚太新城富丽园,0.0,11159.0
亚太新城富群苑,0.0,9833.25
亚运城天峯3区,0.0,24991.0
亚运城天成,24979.333333333332,26740.166666666668
亚运城天成2区,23333.0,26352.0
亚运城天荟,0.0,26545.0
亚运城天誉,22485.0,22997.5
亚运城媒体北村,0.0,22093.0
亚运城媒体村(南区),24682.0,24109.166666666668
亚运城技术官员村,0.0,27369.0
交委宿舍,28292.0,0.0
京溪尚苑,0.0,33237.0
京溪竹园小区,0.0,25253.0
人盛巴厘天地,0.0,8061.2
仁安花园,9546.0,11313.0
今日丽舍,0.0,23430.0
仙湖名苑,59574.0,52391.0
优山悦海,0.0,16695.5
佰利山,35924.0,35242.5
佳兆业君汇上品,0.0,59122.0
佳兆业城市广场,25475.75,27959.0
佳大银湾,57340.0,0.0
侨乐新村,0.0,30117.0
侨乐新村嘉德利湾,0.0,38077.0
侨基花园,0.0,18313.333333333332
侨宫苑,0.0,12755.0
侨建御溪谷南区,13760.0,12619.0
侨源山庄,0.0,35268.0
侨苑小区(天河区),0.0,49815.0
侨雅苑(海珠区),0.0,41991.0
俊怡云山御居,11545.0,0.0
保利i立方,12887.0,13640.0
保利东江首府,0.0,16711.5
保利中航城二期,0.0,17128.0
保利中航城花园一期,14162.0,14227.666666666666
保利中辰广场,79967.0,0.0
保利城,0.0,12333.5
保利壹号公馆,0.0,12863.0
保利天悦,46880.0,0.0
保利天悦花园,0.0,169787.0
保利学府里,0.0,48934.2
保利林海山庄,0.0,46512.0
保利林语山庄,31985.0,37121.0
保利汇海花园,0.0,33536.0
保利红棉花园,0.0,32398.0
保利红馆,0.0,49221.2
保利罗兰国际,35375.0,39294.9
保利花园,44078.0,43774.666666666664
保利花香美苑,31709.0,37667.0
保利西子湾,0.0,34052.5
保利越秀岭南林语,29304.0,32485.666666666668
保利香雪山花园,47620.0,53773.5
信业悦都荟,0.0,15596.666666666666
信华经理人家园,0.0,69329.0
信基城,0.0,31780.0
信成小区,0.0,61487.0
信步闲庭,0.0,54093.0
信达大厦,32597.0,0.0
倚云居,0.0,21614.5
假日花园,0.0,14725.5
元邦山清水秀,0.0,6780.0
元邦明月水岸,0.0,31956.5
元邦航空家园,0.0,24164.0
先烈中路81号大院,0.0,58153.0
先烈南路青菜东街,0.0,48067.0
光华大厦,0.0,45993.0
光大花园,0.0,55049.333333333336
光大花园榕岸,64946.0,0.0
光大花园榕景四季,57254.0,0.0
光机电研究所,0.0,46076.0
六运小区,48971.0,53365.5
兰亭御园,0.0,56700.0
兰亭盛荟,68956.0,0.0
兰亭荟苑,0.0,99009.0
兰兴苑,0.0,27607.0
共和苑,0.0,47195.0
共和路,0.0,73735.0
兴禺大厦,25617.0,0.0
农工商学院,0.0,36132.0
冶金技术学校宿舍,0.0,17131.0
凤凰新村,22930.0,0.0
凤馨苑,14484.4,14735.8
凯云新世界,0.0,65308.0
创基丽江国际,0.0,16871.0
创逸雅苑,83704.5,82669.0
创鸿嘉园,0.0,18758.0
利都大厦,0.0,16868.0
利雅湾,0.0,153158.0
力诚凯怡湾,0.0,12804.8
力达广场,0.0,27028.0
力迅时光里,0.0,55290.333333333336
加怡花园,0.0,36822.0
北丽园,0.0,19203.0
北城白云花园,0.0,17749.0
北大资源博雅1898,0.0,48480.0
半山雍景苑,0.0,49971.0
