棠德花园望中低层南向三房 望大花园位置安静 景观好,棠德花苑,棠下,3室1厅 ,72.98, 东南 , 精装 ,11, 1997年 , 塔楼,1,22,2480000.0,"33,982元/平",VR房源 房本满五年 随时看房 
美力盈彩 东南向望花园 近公园 拎包入住,美力盈彩花苑,旧区,3室2厅 ,132.17, 东南 , 精装 ,20, 2011年 , 塔楼,0,25,2018000.0,"15,269元/平",VR看装修 房本满五年 随时看房 
环境好 南向两房 带露台 采光好,华文学院,粤垦,2室1厅 ,73.64, 南 , 简装 ,9, 1999年 , 塔楼,1,24,2390000.0,"32,456元/平",VR房源 房本满五年 随时看房 
广州富力城北区  高层视野好 南北对流,富力城北区,夏茅,3室1厅 ,93.26, 北 , 精装 ,18, 2009年 , 塔楼,1,24,2350000.0,"25,199元/平",VR房源 房本满五年 随时看房 
阳光城熙然府 全新未住 南北对流大三房 单边位双阳台,阳光城熙然府,进港大道,3室2厅 ,105.5, 东南 , 精装 ,33, 2018年 , 塔楼,2,24,2150000.0,"20,380元/平",VR看装修 房本满五年 随时看房 
丽和华庭 稀有小户型两房  通风采光视野好,丽和华庭,芳村,2室1厅 ,63.9, 东南 , 简装 ,14, 2011年 , 塔楼,0,19,2480000.0,"38,811元/平",近地铁 VR房源 房本满两年 随时看房 
黄埔区 珠江嘉园，南北对流大三房有钥匙 随时可看,珠江嘉园,黄埔永和,3室2厅 ,101.83, 南 , 精装 ,32, 2017年 , 塔楼,5,25,1700000.0,"16,695元/平",VR看装修 房本满五年 随时看房 
区府旁叠翠峰 3房 精装保养好 有钥匙看房,叠翠峰,南沙区府,3室2厅 ,85.38, 东北 , 精装 ,26, 2018年 , 塔楼,0,22,2000000.0,"23,425元/平",近地铁 VR看装修 房本满两年 随时看房 
业主急精装4房户型方正中低层楼位东南对流入户大平台,时代城,铁路西,4室2厅 ,119.16, 东南 南 , 其他 ,28, 2010年 , 塔楼,1,22,1990000.0,"16,701元/平",VR房源 房本满五年 随时看房 
新世界凯粤湾 高层三房 视野开阔 安静舒适,新世界凯粤湾,滘口,3室2厅 ,91.85, 东北 , 精装 ,33, 2012年 , 塔楼,1,22,3920000.0,"42,679元/平",近地铁 VR房源 房本满两年 随时看房 
【总监推荐】悦然府 改善大四房 东南向 视野好 采光好,阳光城悦然府,进港大道,4室1厅 ,126.06, 南 , 精装 ,33, 2019年 , 塔楼,3, 1个月以前发布,2590000.0,"20,546元/平",VR房源 房本满两年 随时看房 
帝景苑 4室2厅 西南,帝景苑,龙口西,4室2厅 ,170.19, 西南 , 其他 ,32, 2000年 , 板塔结合,1, 1个月以前发布,13000000.0,"76,386元/平",近地铁 VR房源 房本满两年 随时看房 
敏捷科创中心 3室1厅 北,敏捷科创中心,太和,3室1厅 ,70.9, 北 , 简装 ,20, 2016年 , 塔楼,3, 1个月以前发布,648000.0,"9,140元/平",房本满五年 随时看房 
顶层复式带大露天，南向看湖看海，随时方便看房,碧桂园天玺湾,进港大道,4室2厅 ,193.08, 南 , 精装 ,18, 2014年 , 板塔结合,0, 1个月以前发布,4480000.0,"23,203元/平",VR房源 房本满五年 随时看房 
红棉苑 电梯带四房带主套 双阳台 通风采光好,红棉苑北区,芳村,4室2厅 ,116.38, 西北 东北 , 简装 ,9, 2000年 , 塔楼,1, 1个月以前发布,3500000.0,"30,074元/平",近地铁 VR房源 房本满五年 随时看房 
9号线汽车城站  南北对流，拎包入住 中高层 3房,万科天景花园,铁路西,3室1厅 ,95.73, 南 北 , 精装 ,23, 2009年 , 塔楼,3,25,1190000.0,"12,431元/平",近地铁 VR房源 房本满五年 随时看房 
满五年  中高楼层  方正少有南向三房,海伦堡花园,沙村,3室2厅 ,94.86, 南 , 精装 ,18, 2012年 , 塔楼,1,31,1400000.0,"14,759元/平",VR房源 房本满五年 随时看房 
天马丽苑二期 2室1厅 南,天马丽苑二期,铁路西,2室1厅 ,67.0, 南 , 精装 ,34, 2007年 , 塔楼,2,29,990000.0,"14,777元/平",VR房源 房本满两年 随时看房 
朗逸居，格局方正，采光通风好，配套完善，近地铁。。,朗逸居,旧区,3室1厅 ,103.97, 南 , 简装 ,9, 1999年 , 板楼,0,31,1000000.0,"9,619元/平",近地铁 VR房源 房本满五年 随时看房 
天誉东向中高层三居，视野开阔采光通风好,亚运城天誉,亚运城,3室2厅 ,103.74, 东 东北 , 精装 ,55, 2013年 , 塔楼,1,27,2390000.0,"23,039元/平",VR房源 房本满五年 随时看房 
