看小区园林 格局方正实用 通风采光好 刚需上车,美心翠拥华庭一期,番禺客运站,3室2厅 ,86.86, 北 , 简装 ,6, 2004年 , 塔楼,2,24,1760000.0,"20,263元/平",VR房源 房本满五年 随时看房 
区府旁叠翠峰 3房 精装保养好 有钥匙看房,叠翠峰,南沙区府,3室2厅 ,85.38, 东北 , 精装 ,26, 2018年 , 塔楼,0,21,2000000.0,"23,425元/平",近地铁 VR看装修 房本满两年 随时看房 
丹桂园 3室2厅 南,丹桂园,市桥,3室2厅 ,116.1, 南 , 简装 ,7, 2003年 , 板楼,1,24,1680000.0,"14,471元/平",近地铁 VR看装修 房本满两年 随时看房 
广州富力城北区  高层视野好 南北对流,富力城北区,夏茅,3室1厅 ,93.26, 北 , 精装 ,18, 2009年 , 塔楼,1,23,2350000.0,"25,199元/平",VR房源 房本满五年 随时看房 
阳光城熙然府 全新未住 南北对流大三房 单边位双阳台,阳光城熙然府,进港大道,3室2厅 ,105.5, 东南 , 精装 ,33, 2018年 , 塔楼,2,24,2150000.0,"20,380元/平",VR看装修 房本满五年 随时看房 
丽和华庭 稀有小户型两房  通风采光视野好,丽和华庭,芳村,2室1厅 ,63.9, 东南 , 简装 ,14, 2011年 , 塔楼,0,19,2480000.0,"38,811元/平",近地铁 VR房源 房本满两年 随时看房 
业主急精装4房户型方正中低层楼位东南对流入户大平台,时代城,铁路西,4室2厅 ,119.16, 东南 南 , 其他 ,28, 2010年 , 塔楼,1,21,1990000.0,"16,701元/平",VR房源 房本满五年 随时看房 
环境好 南向两房 带露台 采光好,华文学院,粤垦,2室1厅 ,73.64, 南 , 简装 ,9, 1999年 , 塔楼,1,24,2390000.0,"32,456元/平",VR房源 房本满五年 随时看房 
敏捷科创中心 3室1厅 北,敏捷科创中心,太和,3室1厅 ,70.9, 北 , 简装 ,20, 2016年 , 塔楼,3, 1个月以前发布,648000.0,"9,140元/平",房本满五年 随时看房 
【总监推荐】悦然府 改善大四房 东南向 视野好 采光好,阳光城悦然府,进港大道,4室1厅 ,126.06, 南 , 精装 ,33, 2019年 , 塔楼,3, 1个月以前发布,2590000.0,"20,546元/平",VR房源 房本满两年 随时看房 
红棉苑 电梯带四房带主套 双阳台 通风采光好,红棉苑北区,芳村,4室2厅 ,116.38, 西北 东北 , 简装 ,9, 2000年 , 塔楼,1, 1个月以前发布,3500000.0,"30,074元/平",近地铁 VR房源 房本满五年 随时看房 
